                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.70315,                0.59796,                 1.1244,                0.85791,                0.76612,                0.84518,                0.59524,                 1.0052,                 0.7357,                 1.3197,              0.0004952,              0.0004952,              0.0004952
                     79,                0.70241,                0.59264,                   1.12,                0.84635,                 0.7733,                0.84381,                0.59548,                0.99995,                0.73306,                 1.3061,              0.0004754,              0.0004754,              0.0004754
                     80,                0.68893,                0.58081,                  1.112,                0.84729,                0.77476,                0.84342,                0.59098,                 1.0051,                0.74606,                 1.3194,              0.0004556,              0.0004556,              0.0004556
                     81,                0.68548,                0.58049,                 1.1057,                0.86017,                 0.7689,                0.84672,                0.59333,                 1.0019,                0.73128,                 1.3122,              0.0004358,              0.0004358,              0.0004358
                     82,                0.68142,                 0.5727,                 1.1054,                0.83808,                0.78278,                0.84817,                0.59641,                 1.0014,                0.73868,                 1.3149,               0.000416,               0.000416,               0.000416
                     83,                0.66946,                0.55897,                 1.0965,                0.84213,                  0.776,                0.84119,                0.59127,                 1.0038,                0.74626,                  1.321,              0.0003962,              0.0003962,              0.0003962
                     84,                0.68527,                0.57643,                  1.105,                0.84225,                0.77099,                0.83868,                0.59256,                 1.0069,                0.75296,                 1.3183,              0.0003764,              0.0003764,              0.0003764
                     85,                   0.66,                0.55433,                 1.0934,                0.85805,                0.76797,                 0.8412,                0.59401,                 1.0067,                0.73604,                 1.3267,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.6655,                0.54972,                  1.096,                0.85298,                0.76798,                0.84157,                0.59202,                 1.0053,                0.74711,                 1.3247,              0.0003368,              0.0003368,              0.0003368
                     87,                0.65359,                0.54286,                 1.0917,                0.83729,                0.77723,                0.83965,                0.59203,                 1.0038,                0.75583,                 1.3264,               0.000317,               0.000317,               0.000317
                     88,                 0.6498,                0.53043,                  1.088,                0.84199,                0.78124,                0.84291,                0.59553,                 1.0049,                0.73389,                  1.325,              0.0002972,              0.0002972,              0.0002972
                     89,                0.65531,                0.53498,                 1.0922,                0.83545,                0.77703,                0.83753,                 0.5973,                0.99331,                0.74337,                 1.3132,              0.0002774,              0.0002774,              0.0002774
                     90,                0.64769,                0.53572,                  1.089,                0.84279,                0.78247,                0.84295,                0.59871,                0.99748,                0.73919,                 1.3123,              0.0002576,              0.0002576,              0.0002576
                     91,                0.58447,                0.41294,                 1.0101,                0.85433,                0.76952,                 0.8382,                0.59554,                  1.003,                0.73751,                 1.3405,              0.0002378,              0.0002378,              0.0002378
                     92,                0.56835,                0.38981,                 0.9992,                0.85885,                0.76396,                 0.8393,                0.59488,                 1.0083,                0.73814,                 1.3423,               0.000218,               0.000218,               0.000218
                     93,                0.55098,                0.37759,                0.98968,                0.84973,                0.77289,                0.83974,                0.59863,                 1.0042,                0.73215,                 1.3396,              0.0001982,              0.0001982,              0.0001982
                     94,                0.55412,                0.37641,                0.99234,                0.83694,                0.77322,                0.83734,                0.59428,                 1.0048,                0.73343,                 1.3455,              0.0001784,              0.0001784,              0.0001784
                     95,                0.54931,                0.36358,                 0.9893,                0.86012,                0.76077,                0.83805,                0.59393,                 1.0059,                0.72959,                 1.3486,              0.0001586,              0.0001586,              0.0001586
                     96,                0.53533,                0.36309,                0.97987,                0.84982,                0.76921,                0.83875,                0.59766,                0.99982,                0.72864,                 1.3394,              0.0001388,              0.0001388,              0.0001388
                     97,                0.53215,                 0.3559,                0.97621,                 0.8525,                0.76859,                0.83888,                0.59999,                 1.0043,                0.73563,                 1.3435,               0.000119,               0.000119,               0.000119
                     98,                 0.5343,                0.35527,                0.97814,                  0.842,                0.77773,                0.83881,                0.60199,                0.99887,                0.73192,                 1.3424,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.5226,                0.34489,                0.97092,                0.83572,                0.78155,                 0.8397,                0.60107,                 1.0042,                0.72996,                 1.3431,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.52096,                0.33858,                0.96941,                 0.8381,                0.77947,                0.84229,                0.60039,                 1.0052,                0.72514,                 1.3497,               5.96e-05,               5.96e-05,               5.96e-05
